batch,filename,articles_count,start_idx,end_idx
1,articles_batch_01.csv,43,0,42
2,articles_batch_02.csv,42,43,84
3,articles_batch_03.csv,29,85,113
4,articles_batch_04.csv,24,114,137
5,articles_batch_05.csv,46,138,183
6,articles_batch_06.csv,50,184,233
7,articles_batch_07.csv,48,234,281
8,articles_batch_08.csv,41,282,322
9,articles_batch_09.csv,46,323,368
10,articles_batch_10.csv,48,369,416
11,articles_batch_11.csv,46,417,462
12,articles_batch_12.csv,45,463,507
13,articles_batch_13.csv,43,508,550
14,articles_batch_14.csv,37,551,587
15,articles_batch_15.csv,34,588,621
16,articles_batch_16.csv,47,622,668
17,articles_batch_17.csv,49,669,717
18,articles_batch_18.csv,48,718,765
19,articles_batch_19.csv,45,766,810
20,articles_batch_20.csv,47,811,857
21,articles_batch_21.csv,44,858,901
22,articles_batch_22.csv,40,902,941
23,articles_batch_23.csv,44,942,985
